,name,date,strengths,weaknesses,self_development,geo_flex,financial_support_self,result,course_interest,tech_self_score_CSharp,tech_self_score_Java,tech_self_score_R,tech_self_score_JavaScript,tech_self_score_Python,tech_self_score_C++,tech_self_score_Ruby,tech_self_score_SPSS,tech_self_score_PHP
573,Zacherie Beswell,2019-07-11,"Patient, Altruism, Creative",Sensitive,True,True,True,Pass,Business,,,,1.0,,,2.0,,
574,Karla Windridge,2019-07-31,Composure,Undisciplined,True,False,True,Fail,Business,2.0,,,,,2.0,,,
575,Lannie Minister,2019-07-31,"Consistent, Independent, Curious","Indecisive, Anxious",True,True,True,Pass,Data,,,,,,,,,
576,Andree Romeo,2019-07-02,Collaboration,"Impatient, Anxious, Undisciplined",True,True,True,Pass,Business,,,,,1.0,,,,
577,Roch De Courcy,2019-07-09,"Collaboration, Determined",Impulsive,True,True,True,Pass,Data,3.0,,2.0,,,,,,
578,Maggie Dolden,2019-07-11,"Reliable, Consistent","Overbearing, Chatty, Anxious",True,True,True,Pass,Data,,1.0,,,,,3.0,,
579,Gage Feveryear,2019-07-11,Altruism,"Indecisive, Selfish, Chaotic",True,True,True,Pass,Business,,,,2.0,,,,4.0,1.0
580,Virginia Burdge,2019-07-11,"Passionate, Ambitious, Reliable","Chaotic, Conventional",False,True,True,Fail,Engineering,,,5.0,,,,,,
581,Melodee Crippen,2019-07-04,Versatile,Procrastination,True,True,True,Pass,Business,,,4.0,,3.0,6.0,2.0,,
582,Raven Derx,2019-07-24,"Independent, Collaboration","Procrastination, Chatty",True,False,True,Fail,Business,,,,,,,4.0,5.0,
583,Joseito Duiged,2019-07-17,"Composure, Patient, Charisma",Sensitive,True,True,True,Pass,Business,,,,,,,,,
584,Merline Rickell,2019-07-23,"Problem Solving, Ambitious, Patient","Selfish, Conventional, Sensitive",True,True,True,Pass,Engineering,,,,,,2.0,,5.0,
585,Vina Flott,2019-07-16,"Ambitious, Consistent","Chaotic, Impatient, Indecisive",True,True,False,Fail,Data,,3.0,,1.0,,,,,
586,Hastie Hantusch,2019-07-17,"Reliable, Patient","Slow, Procrastination, Stubborn",False,True,True,Fail,Engineering,,,,,,,3.0,,
587,Ines Plaschke,2019-07-24,"Innovative, Curious, Problem Solving","Chaotic, Impatient",True,True,False,Fail,Data,5.0,,,2.0,,,,,
588,Burnaby Mackay,2019-07-17,"Rational, Reliable, Critical Thinking","Introverted, Chaotic",True,True,True,Fail,Business,6.0,,1.0,,2.0,,,7.0,2.0
589,Linc Ridgway,2019-07-17,"Independent, Altruism",Impulsive,True,False,True,Fail,Engineering,,,,,,,,1.0,
590,Darcy Handrahan,2019-07-09,"Competitive, Rational","Indecisive, Chatty",True,True,False,Fail,Data,4.0,4.0,,2.0,,3.0,,,
591,Towny Povall,2019-07-31,"Altruism, Charisma",Slow,True,False,True,Fail,Data,,2.0,2.0,3.0,3.0,2.0,,7.0,
592,Beauregard Hould,2019-07-30,Consistent,"Indifferent, Sensitive",True,True,True,Pass,Data,,,,,7.0,,,,
593,Joletta Kalinowsky,2019-07-31,Ambitious,Anxious,True,True,True,Pass,Business,,4.0,,4.0,,,2.0,,3.0
594,Lock Ellerker,2019-07-04,"Problem Solving, Listening","Procrastination, Impatient",False,True,False,Fail,Data,6.0,2.0,,7.0,,,,2.0,
595,Freddie Samber,2019-07-10,"Ambitious, Patient","Conventional, Overbearing",True,True,True,Pass,Data,1.0,2.0,3.0,2.0,,,,3.0,
596,Arlette Pickles,2019-07-11,Listening,"Chaotic, Impatient, Indecisive",True,True,False,Fail,Data,,3.0,,4.0,,,,,
597,Simonette Mawson,2019-07-31,Composure,Impatient,True,True,True,Pass,Data,,,,,1.0,2.0,2.0,,3.0
598,Micheal Di Matteo,2019-07-30,"Problem Solving, Empathy, Altruism","Competitive, Slow",True,True,True,Pass,Data,,,2.0,1.0,,,,5.0,
599,Madeleine Brunicke,2019-07-11,Organisation,"Undisciplined, Chatty, Competitive",True,True,False,Fail,Data,,8.0,2.0,,6.0,3.0,2.0,3.0,
600,Ashby Capener,2019-07-18,Independent,Impulsive,True,True,True,Fail,Business,,5.0,3.0,,2.0,1.0,,,
601,Rachele Bracknell,2019-07-18,"Perfectionism, Independent","Indifferent, Procrastination",True,True,True,Pass,Data,,,,,,,,,
602,Portia Farfalameev,2019-07-16,Competitive,"Introverted, Undisciplined, Impatient",True,True,True,Pass,Business,,3.0,,1.0,1.0,5.0,1.0,,
603,Grant Kilban,2019-07-10,"Passionate, Ambitious",Conventional,True,True,False,Fail,Business,3.0,5.0,,,4.0,3.0,,5.0,2.0
604,Sinclair Bonder,2019-07-11,Perfectionism,Anxious,True,True,True,Pass,Engineering,2.0,,1.0,,,,,3.0,
605,Harmonia Winspare,2019-07-04,Problem Solving,Undisciplined,True,True,True,Pass,Engineering,3.0,,4.0,1.0,,,,2.0,
606,Milly Ison,2019-07-31,"Composure, Empathy","Immature, Slow",True,True,True,Pass,Engineering,,,,,4.0,,1.0,,
607,Evvy Allcock,2019-07-25,"Versatile, Perfectionism",Slow,True,True,True,Pass,Engineering,2.0,,5.0,2.0,3.0,,3.0,,
608,Con Haxley,2019-07-31,"Determined, Problem Solving","Controlling, Immature, Perfectionist",True,True,True,Pass,Data,4.0,2.0,,,3.0,3.0,,,2.0
609,Bryanty Greenacre,2019-07-31,Perfectionism,Procrastination,True,True,True,Pass,Business,,1.0,,,3.0,,,,
610,Vivianne Shills,2019-07-31,"Problem Solving, Organisation",Indifferent,True,True,True,Pass,Data,5.0,5.0,4.0,1.0,,,,,
611,Renado Bulfoot,2019-07-31,Efficient,Perfectionist,True,False,True,Fail,Engineering,,,3.0,,,,2.0,,2.0
612,Sinclair Breissan,2019-07-12,"Independent, Efficient",Anxious,False,True,True,Fail,Engineering,1.0,1.0,1.0,5.0,,,1.0,3.0,1.0
613,Conn Dobson,2019-07-18,Courteous,"Procrastination, Impulsive",True,True,False,Fail,Business,,5.0,5.0,,,,,,
614,Nicolle Radford,2019-07-04,"Versatile, Charisma",Intolerant,True,True,True,Pass,Business,,,,5.0,2.0,4.0,3.0,,
615,Marquita Forrington,2019-07-20,"Organisation, Independent, Altruism","Stubborn, Controlling",True,True,True,Pass,Data,1.0,,,,,,1.0,,
616,Ingaborg Pitblado,2019-07-18,Ambitious,"Chatty, Anxious",False,True,True,Fail,Business,2.0,,5.0,,,,6.0,7.0,1.0
617,Bethanne Este,2019-07-06,"Patient, Innovative","Indifferent, Competitive",True,False,True,Fail,Business,,4.0,,3.0,2.0,,,6.0,
618,Ingelbert Clench,2019-07-27,"Critical Thinking, Creative, Courteous","Controlling, Overbearing",True,True,True,Pass,Data,2.0,,,,,6.0,,3.0,
619,Aura Louche,2019-07-04,"Determined, Creative, Rational",Indifferent,True,True,True,Pass,Data,,,2.0,,2.0,2.0,,3.0,
620,Cully Seward,2019-07-05,Determined,"Undisciplined, Controlling, Critical",True,False,True,Fail,Data,,,,,,,,1.0,
621,Lenna Daulby,2019-07-13,Composure,"Anxious, Slow, Controlling",True,True,True,Pass,Engineering,2.0,,,,3.0,5.0,3.0,,
622,Billi Narraway,2019-07-18,Independent,"Conventional, Selfish",True,True,True,Fail,Engineering,2.0,3.0,,,4.0,,1.0,,
623,Aurelea Leason,2019-07-25,"Creative, Independent, Organisation","Intolerant, Competitive, Chatty",True,True,True,Pass,Data,,6.0,,,,,2.0,1.0,1.0
624,Lucius Buswell,2019-07-04,"Perfectionism, Efficient, Creative","Anxious, Conventional, Intolerant",True,True,True,Pass,Engineering,,2.0,,,5.0,,,2.0,3.0
625,Esdras Pires,2019-07-13,Competitive,Passive,True,False,True,Fail,Data,,,2.0,1.0,5.0,6.0,1.0,3.0,
626,Siouxie Rogan,2019-07-11,"Organisation, Curious",Immature,True,True,True,Pass,Engineering,,,,,,,5.0,,2.0
627,Marchall Pocklington,2019-07-25,"Composure, Competitive, Independent","Indecisive, Conventional, Distracted",True,True,True,Fail,Engineering,3.0,,3.0,1.0,,3.0,,3.0,2.0
628,Granthem Long,2019-07-05,Organisation,"Passive, Chaotic, Procrastination",True,True,True,Pass,Engineering,,,2.0,2.0,2.0,,,,3.0
629,Charlean Balston,2019-07-11,"Listening, Altruism, Competitive",Indecisive,True,False,True,Fail,Data,,,,3.0,,,,3.0,
630,Jimmie Durker,2019-07-06,"Listening, Ambitious",Perfectionist,True,True,True,Pass,Engineering,,,,,,,,3.0,1.0
631,Jeanette Wankel,2019-07-12,Rational,"Introverted, Indifferent, Controlling",True,True,True,Fail,Data,1.0,,,,,,5.0,3.0,3.0
632,Giulietta Dissman,2019-07-25,"Passionate, Creative",Chaotic,True,True,False,Fail,Data,6.0,,,1.0,,1.0,,,
633,Joanna Thwaite,2019-07-06,"Competitive, Collaboration, Problem Solving","Perfectionist, Impatient, Impulsive",True,True,True,Pass,Business,,,,,,,2.0,,
634,Salim Edmundson,2019-07-13,"Listening, Independent",Controlling,True,False,True,Fail,Data,2.0,3.0,,,1.0,,,,1.0
635,Jan Manilo,2019-07-26,"Competitive, Versatile, Determined","Chaotic, Overbearing",True,True,True,Pass,Data,3.0,,4.0,1.0,2.0,,,,
636,Suzette Glander,2019-07-20,"Empathy, Creative, Patient",Sensitive,True,True,True,Pass,Engineering,,3.0,,,,5.0,,,
637,Bambi See,2019-07-04,"Composure, Consistent","Impatient, Undisciplined",True,True,True,Pass,Business,1.0,2.0,,4.0,2.0,,,,
638,Ainslee Paice,2019-07-18,"Collaboration, Charisma, Curious","Critical, Indifferent",True,True,True,Fail,Engineering,,,1.0,,,,,8.0,
639,Fernanda Hendrich,2019-07-06,"Perfectionism, Courteous, Composure","Sensitive, Indifferent",True,False,True,Fail,Engineering,,,,4.0,,5.0,,2.0,2.0
640,Virge Insole,2019-07-20,"Reliable, Critical Thinking",Chaotic,True,False,True,Fail,Engineering,3.0,4.0,,4.0,,,5.0,2.0,5.0
641,Kathy Meeking,2019-07-26,"Curious, Versatile, Ambitious","Conventional, Intolerant, Sensitive",True,True,True,Pass,Data,,3.0,,,1.0,,,,
642,Lind Ferebee,2019-07-25,Independent,"Passive, Distracted, Perfectionist",True,True,True,Pass,Business,,,,,4.0,,,,
643,Aguie Morrad,2019-07-27,"Competitive, Rational, Reliable",Distracted,True,True,True,Pass,Data,,3.0,,,,,3.0,,
644,Vania Ingray,2019-07-13,Courteous,"Distracted, Indifferent, Chaotic",True,True,True,Pass,Business,1.0,,,,,,,,
645,Ola Robelet,2019-07-19,"Ambitious, Rational, Consistent","Impatient, Overbearing, Procrastination",True,True,False,Fail,Data,,,3.0,,,,1.0,1.0,
646,Leoline Stelli,2019-07-19,"Determined, Patient",Impulsive,True,False,True,Fail,Data,,,2.0,,,,3.0,,
647,Malia Checcucci,2019-07-25,"Perfectionism, Versatile","Sensitive, Perfectionist, Distracted",True,True,True,Pass,Business,,4.0,2.0,,5.0,,,1.0,3.0
648,Antoni Caney,2019-07-11,Competitive,"Critical, Sensitive, Indifferent",True,True,True,Pass,Business,,2.0,,,1.0,2.0,4.0,2.0,
649,Alanah Matfin,2019-07-27,Organisation,"Critical, Chaotic, Stubborn",True,True,True,Pass,Business,3.0,4.0,,,,,,3.0,2.0
650,Nickolaus Jeacocke,2019-07-06,Reliable,"Anxious, Undisciplined, Conventional",True,True,True,Pass,Data,,5.0,3.0,,,,,,
651,Briano Nissle,2019-07-13,Consistent,Controlling,True,True,True,Pass,Business,3.0,2.0,,,,3.0,,2.0,1.0
652,Temple Plumridege,2019-07-20,Composure,"Indifferent, Indecisive",True,True,True,Pass,Business,,,,,,,,3.0,
653,Adeline Ordidge,2019-07-19,"Empathy, Rational, Reliable",Procrastination,True,False,True,Fail,Data,4.0,,4.0,,4.0,,,2.0,1.0
654,Stanleigh Huson,2019-07-19,"Rational, Determined, Independent","Undisciplined, Impulsive, Chatty",True,True,True,Pass,Engineering,,1.0,,,,3.0,,,
655,Lyell Sandell,2019-07-06,Consistent,"Chaotic, Procrastination, Selfish",True,True,True,Pass,Engineering,3.0,,4.0,,4.0,1.0,,,
656,Putnem Ericsson,2019-07-18,"Versatile, Ambitious","Indecisive, Passive",True,True,True,Fail,Engineering,,2.0,1.0,,4.0,3.0,3.0,,2.0
657,Dodie Mcgowran,2019-07-27,"Versatile, Critical Thinking",Slow,True,True,True,Pass,Engineering,,7.0,,1.0,2.0,,7.0,,
658,Freddie Ludlam,2019-07-05,Curious,"Impatient, Introverted",True,False,True,Fail,Data,5.0,,,,2.0,,,5.0,2.0
659,Fancie Coster,2019-07-25,"Reliable, Ambitious, Curious",Impatient,True,True,True,Pass,Business,2.0,,,,1.0,,,,3.0
660,Abran Odams,2019-07-12,"Perfectionism, Ambitious, Innovative","Intolerant, Anxious, Critical",False,False,True,Fail,Engineering,,,,5.0,,5.0,,,4.0
661,Brod Blunden,2019-07-18,Passionate,"Controlling, Impulsive",True,True,True,Pass,Business,,,,,2.0,2.0,,,
662,Shel Bolzen,2019-07-25,"Empathy, Perfectionism, Consistent","Indecisive, Conventional, Slow",True,True,True,Pass,Data,,,5.0,,1.0,,2.0,,
663,Matilda Mattiessen,2019-07-25,"Charisma, Independent, Patient","Perfectionist, Overbearing",True,True,True,Pass,Data,5.0,,,,,,,1.0,
664,Georgette Giacomo,2019-07-18,"Organisation, Charisma","Slow, Stubborn",True,True,True,Pass,Engineering,,,,1.0,,,,,
665,Hanni Katt,2019-07-20,"Perfectionism, Charisma",Controlling,True,True,True,Pass,Business,,2.0,3.0,,,3.0,,,
666,Jeanne Brayne,2019-07-12,"Listening, Collaboration",Passive,True,True,True,Pass,Business,5.0,9.0,3.0,,3.0,,,,2.0
667,Joana Frawley,2019-07-04,Problem Solving,Indifferent,True,True,True,Pass,Business,,,4.0,,3.0,2.0,,,4.0
668,Kingston Comsty,2019-07-06,"Reliable, Problem Solving, Innovative","Impatient, Competitive, Stubborn",True,True,True,Pass,Data,2.0,2.0,,,,,,2.0,
669,York Sygroves,2019-07-18,Patient,"Critical, Competitive, Anxious",True,False,True,Fail,Business,,2.0,,3.0,4.0,,,,3.0
670,Camel Miguet,2019-07-12,Critical Thinking,"Procrastination, Passive",True,True,True,Pass,Business,4.0,,,,,,,,
671,Vina Fodden,2019-07-20,"Consistent, Competitive","Immature, Controlling",True,True,True,Fail,Engineering,,4.0,,,1.0,,2.0,,1.0
672,Sawyere Paskell,2019-07-05,"Organisation, Problem Solving, Collaboration","Passive, Undisciplined, Immature",True,True,True,Pass,Engineering,3.0,3.0,1.0,,,,,1.0,3.0
673,Zeb Tippings,2019-07-12,"Altruism, Competitive","Impatient, Anxious",True,True,True,Pass,Engineering,,,2.0,3.0,,,,,
674,Nil Iacovo,2019-07-18,"Independent, Collaboration","Sensitive, Indecisive, Procrastination",True,True,True,Fail,Business,,1.0,,,,2.0,,,2.0
675,Aurora Jimson,2019-07-27,"Versatile, Curious, Organisation",Distracted,True,True,True,Pass,Engineering,5.0,,1.0,2.0,,,1.0,,
676,Helena Swire,2019-07-18,"Listening, Problem Solving","Chaotic, Indecisive",True,True,True,Pass,Business,,,,2.0,3.0,1.0,,,
677,Francklin Warrington,2019-07-25,"Altruism, Listening","Impulsive, Critical",True,True,True,Pass,Data,,6.0,,5.0,,3.0,4.0,,
678,Dorene Franschini,2019-07-12,"Creative, Determined, Altruism","Slow, Overbearing",True,True,True,Pass,Data,3.0,,,,,2.0,,,
679,Diana Webby,2019-07-11,"Courteous, Listening","Intolerant, Introverted",False,True,True,Fail,Business,,1.0,,,,3.0,1.0,3.0,
680,Ginevra Paice,2019-07-18,Independent,"Impatient, Selfish, Undisciplined",True,False,True,Fail,Data,,,4.0,,2.0,1.0,,4.0,
681,Chane Wetwood,2019-07-18,"Rational, Reliable, Passionate","Impatient, Introverted, Undisciplined",True,True,True,Pass,Engineering,,4.0,,,,,,,
682,Barbra Polleye,2019-07-18,"Perfectionism, Determined","Anxious, Slow, Distracted",True,True,True,Pass,Business,4.0,,,,,,3.0,,
683,Shelbi Waddingham,2019-07-18,Competitive,"Slow, Indecisive",True,True,True,Pass,Engineering,,,,,,,1.0,,5.0
684,Lenora Gannicott,2019-07-19,Organisation,"Perfectionist, Procrastination",True,True,False,Fail,Engineering,,,,1.0,,1.0,1.0,,
685,Aindrea Normanvill,2019-07-18,"Collaboration, Courteous, Versatile","Slow, Introverted",True,True,True,Pass,Business,5.0,,,,,5.0,,2.0,1.0
686,Annamaria Redhole,2019-07-26,"Rational, Versatile, Charisma","Anxious, Chatty",True,False,True,Fail,Engineering,3.0,,,,,,3.0,,4.0
687,Sarah Magor,2019-07-20,Critical Thinking,Overbearing,True,True,True,Pass,Engineering,2.0,,5.0,2.0,,,,,
688,Zacharie Bann,2019-07-27,Problem Solving,"Intolerant, Controlling, Indifferent",True,True,True,Pass,Data,4.0,,,1.0,,,2.0,,1.0
689,Vernon Curl,2019-07-04,"Determined, Reliable, Creative","Overbearing, Undisciplined, Impatient",True,True,True,Pass,Data,,2.0,,2.0,,,,2.0,1.0
690,Savina Phythien,2019-07-27,"Collaboration, Competitive, Rational","Introverted, Impatient, Passive",True,True,True,Pass,Data,4.0,3.0,,2.0,,,1.0,,4.0
691,Cleveland Vasyukhin,2019-07-19,"Determined, Independent, Versatile","Conventional, Intolerant, Sensitive",True,True,True,Pass,Data,,2.0,2.0,,1.0,,5.0,,
692,Katherina Bowton,2019-07-26,Empathy,Overbearing,True,False,True,Fail,Business,6.0,,,1.0,,,,,
693,Giustina Catford,2019-07-06,"Patient, Listening","Impatient, Procrastination",True,True,True,Pass,Engineering,5.0,2.0,,,,,,,
694,Fidel Norval,2019-07-19,"Innovative, Determined","Selfish, Controlling, Introverted",False,True,True,Fail,Engineering,,,,,,,,4.0,
695,Kim Bester,2019-07-26,Empathy,"Stubborn, Chatty",True,True,True,Fail,Engineering,3.0,3.0,2.0,2.0,4.0,4.0,1.0,,1.0
696,Nomi Verne,2019-07-05,Ambitious,"Passive, Immature",True,True,True,Pass,Data,,1.0,,4.0,,2.0,,3.0,
697,Verla Di Antonio,2019-07-05,"Problem Solving, Composure, Collaboration","Sensitive, Undisciplined",True,True,True,Pass,Business,1.0,1.0,,,,7.0,1.0,6.0,
698,Cherrita Allchorne,2019-07-26,"Problem Solving, Competitive, Rational",Intolerant,False,True,True,Fail,Engineering,,2.0,6.0,,,,2.0,,1.0
699,Charmain Diben,2019-07-12,Composure,"Stubborn, Critical",True,True,True,Pass,Engineering,3.0,,2.0,,4.0,7.0,,4.0,
700,Hulda Bales,2019-07-25,Composure,"Distracted, Impatient",False,True,True,Fail,Data,,2.0,,,4.0,1.0,,,2.0
701,Bunny Barns,2019-07-13,Perfectionism,"Critical, Indecisive, Procrastination",True,True,True,Pass,Engineering,6.0,,,,,,,1.0,
702,Malvina Whiteford,2019-07-11,"Organisation, Consistent, Determined",Selfish,True,True,True,Pass,Data,2.0,1.0,,4.0,,4.0,,,4.0
703,Elsie Fursland,2019-07-04,"Organisation, Passionate, Patient","Competitive, Conventional, Selfish",True,True,True,Pass,Business,,4.0,,,,6.0,,,2.0
704,Ebeneser Handy,2019-07-05,"Determined, Ambitious",Overbearing,True,True,True,Pass,Data,1.0,3.0,,2.0,5.0,,5.0,,1.0
705,Marvin Gorger,2019-07-19,Innovative,"Anxious, Introverted, Procrastination",True,True,True,Pass,Business,,,2.0,1.0,3.0,2.0,5.0,3.0,
706,Rosalinde Smallshaw,2019-07-19,Critical Thinking,"Impatient, Passive",True,True,True,Pass,Engineering,,,4.0,2.0,,4.0,5.0,,
707,Rosalinda Frizzell,2019-07-26,"Reliable, Organisation","Distracted, Conventional, Immature",True,True,True,Fail,Business,,,,,1.0,,,,1.0
708,Wade Friedenbach,2019-07-04,"Problem Solving, Empathy",Indifferent,True,True,True,Pass,Engineering,,,,,,,4.0,1.0,2.0
709,Guido Lassells,2019-07-13,"Innovative, Courteous, Consistent","Passive, Competitive",True,True,True,Pass,Business,,,5.0,,,4.0,,,1.0
710,Shelden Sheraton,2019-07-20,"Reliable, Versatile, Determined","Selfish, Competitive",False,True,True,Fail,Data,1.0,,,,,1.0,3.0,,
711,Kacey Smurthwaite,2019-07-27,Rational,Indifferent,True,True,True,Pass,Engineering,,4.0,,,,3.0,5.0,,
712,Audrye Walkingshaw,2019-07-13,"Reliable, Critical Thinking","Distracted, Chatty",True,True,True,Pass,Business,,,2.0,,,,,1.0,
713,Selle Mckeowon,2019-07-20,"Passionate, Creative","Distracted, Introverted",True,True,True,Pass,Data,3.0,3.0,,8.0,,,4.0,5.0,
714,Bird Hatfield,2019-07-20,"Curious, Ambitious",Chatty,True,True,True,Pass,Engineering,1.0,6.0,,,,,6.0,,4.0
715,Briant Pope,2019-07-26,"Efficient, Competitive","Impatient, Controlling, Critical",True,True,True,Fail,Data,6.0,,,7.0,,,2.0,,
716,Vladamir Waddams,2019-07-04,"Organisation, Consistent, Ambitious",Sensitive,True,True,True,Pass,Business,1.0,,,3.0,2.0,,,,
717,Jecho Rousel,2019-07-05,Organisation,"Introverted, Impatient, Distracted",True,True,True,Pass,Engineering,,3.0,,,2.0,,,,
718,Ronda Budcock,2019-07-04,Ambitious,Controlling,True,True,True,Pass,Business,,,,3.0,,,2.0,,
719,Lexine Rapson,2019-07-18,"Courteous, Creative, Versatile","Competitive, Selfish, Immature",True,True,False,Fail,Business,,,,,,,,4.0,4.0
720,Osbourne Witherdon,2019-07-27,Organisation,Conventional,True,True,True,Pass,Engineering,,2.0,,,2.0,,,,
721,Cati Dumphries,2019-07-18,"Consistent, Rational, Critical Thinking","Conventional, Controlling",True,True,True,Pass,Data,3.0,,,,,,,,
722,Jayne Andriveau,2019-07-11,"Curious, Empathy, Determined","Sensitive, Intolerant, Immature",True,False,True,Fail,Business,,,,,,,6.0,,
723,Elliot Sarsfield,2019-07-06,Problem Solving,"Immature, Perfectionist, Introverted",True,True,True,Pass,Engineering,2.0,6.0,,,4.0,,2.0,,4.0
724,Tate Coade,2019-07-06,"Rational, Empathy, Critical Thinking","Impulsive, Introverted",True,True,True,Fail,Data,,,,3.0,,4.0,,4.0,
725,Emeline Whistance,2019-07-20,"Altruism, Innovative, Competitive",Distracted,True,True,True,Pass,Data,,3.0,,,,,,6.0,5.0
726,Conrad Chadney,2019-07-06,"Listening, Altruism, Passionate","Impulsive, Intolerant, Procrastination",False,True,True,Fail,Business,,2.0,,,,,8.0,4.0,
727,Staffard Load,2019-07-13,"Composure, Perfectionism",Conventional,True,True,True,Pass,Data,,,7.0,3.0,,,3.0,,3.0
728,Fraser Hurnell,2019-07-04,"Innovative, Consistent",Distracted,True,True,True,Pass,Business,,,2.0,2.0,2.0,,,,
729,Worthington Richford,2019-07-11,"Charisma, Collaboration, Problem Solving",Passive,True,True,True,Pass,Engineering,,2.0,,,,,,,
730,Robenia Landor,2019-07-27,"Competitive, Versatile",Undisciplined,True,True,True,Pass,Engineering,3.0,,4.0,,4.0,4.0,,2.0,
731,Claudio Handrick,2019-07-05,"Composure, Organisation","Undisciplined, Controlling",True,True,True,Pass,Data,,,,,,,,,1.0
732,Nevil Rickerby,2019-07-06,Determined,"Controlling, Overbearing, Intolerant",True,True,True,Pass,Data,2.0,,,,5.0,,,,
733,Prescott Alfuso,2019-07-25,"Patient, Consistent",Intolerant,True,True,True,Pass,Engineering,2.0,8.0,,,,,,2.0,1.0
734,Herold Prudham,2019-07-06,"Patient, Independent, Curious","Conventional, Indecisive",True,True,True,Pass,Data,,1.0,4.0,2.0,3.0,,,,
735,Shermy Swancock,2019-07-19,"Innovative, Listening","Controlling, Anxious, Competitive",True,True,True,Pass,Business,,5.0,1.0,,6.0,6.0,,,
736,Terrell Orridge,2019-07-18,"Creative, Innovative, Determined","Controlling, Slow, Impulsive",True,True,True,Pass,Engineering,,3.0,4.0,6.0,,3.0,,,
737,Donalt Julyan,2019-07-11,"Listening, Creative, Efficient",Immature,True,True,True,Pass,Engineering,,,2.0,1.0,,,3.0,2.0,
738,Dev Mcpherson,2019-07-11,Independent,Indecisive,False,True,True,Fail,Data,,,,,5.0,,3.0,,
739,Muhammad Percy,2019-07-12,"Curious, Perfectionism",Conventional,True,True,True,Fail,Engineering,,,1.0,,4.0,4.0,,,
740,Judie Lowy,2019-07-25,"Collaboration, Determined, Independent",Impatient,True,True,True,Pass,Engineering,,,,,,3.0,,,1.0
741,Tadio Goullee,2019-07-20,Patient,Procrastination,True,True,True,Pass,Engineering,3.0,4.0,,,1.0,,1.0,1.0,
742,Katalin Redley,2019-07-04,"Critical Thinking, Determined, Curious","Impulsive, Undisciplined, Distracted",True,True,True,Pass,Business,1.0,,,,,,2.0,,2.0
743,Lea Normington,2019-07-26,"Creative, Independent, Reliable","Chatty, Passive",True,True,True,Pass,Business,,2.0,,,,,6.0,,
744,Cornelia Artist,2019-07-18,"Listening, Empathy","Overbearing, Slow",True,True,True,Pass,Business,,,,,5.0,,,5.0,3.0
745,Vincenty Roubay,2019-07-11,Passionate,"Indecisive, Competitive",True,True,True,Pass,Engineering,,,,,,7.0,,,
746,Phineas Filshin,2019-07-12,"Ambitious, Consistent, Passionate",Procrastination,True,True,True,Pass,Engineering,3.0,,,,2.0,4.0,6.0,,
747,Wilona Crean,2019-07-26,"Patient, Ambitious","Controlling, Indecisive",False,True,False,Fail,Engineering,,4.0,,2.0,5.0,4.0,,1.0,
748,Carlynne Keal,2019-07-26,"Altruism, Independent","Distracted, Procrastination",True,True,True,Pass,Data,2.0,3.0,,,3.0,,,,2.0
749,Westbrook Paynton,2019-07-12,"Problem Solving, Innovative, Listening","Anxious, Distracted, Passive",True,True,True,Pass,Engineering,1.0,,3.0,,,,,,
750,Corby Mccambridge,2019-07-06,Empathy,"Indecisive, Critical, Selfish",True,True,True,Pass,Business,,,2.0,,,6.0,,,1.0
751,Melamie Keers,2019-07-11,"Rational, Reliable, Competitive","Selfish, Chaotic, Controlling",True,True,True,Pass,Business,5.0,5.0,3.0,2.0,3.0,,4.0,,
752,Marillin Rosendall,2019-07-05,Empathy,"Selfish, Conventional",True,True,True,Pass,Engineering,4.0,,,8.0,4.0,4.0,,,
753,Keen Bentham3,2019-07-19,"Courteous, Efficient, Problem Solving",Critical,True,True,True,Pass,Data,7.0,,2.0,,5.0,,,,
754,Homere Stentiford,2019-07-25,Ambitious,"Slow, Critical, Indifferent",True,True,True,Pass,Engineering,4.0,3.0,1.0,,,,,2.0,
755,Muhammad Linn,2019-07-18,"Composure, Courteous","Indifferent, Impulsive",True,True,True,Pass,Data,,,,4.0,4.0,,1.0,2.0,2.0
756,Barbette Sorton,2019-07-27,Consistent,"Immature, Impatient",True,True,True,Pass,Engineering,,,3.0,2.0,,3.0,,,
757,Bax Sweetman,2019-07-26,Creative,"Conventional, Immature, Critical",True,True,True,Pass,Engineering,3.0,1.0,5.0,3.0,,3.0,,3.0,
758,Ambrosi Carnow,2019-07-04,"Reliable, Perfectionism, Ambitious",Indifferent,True,False,True,Fail,Business,3.0,,,,2.0,1.0,,,2.0
759,Kellen Bentick,2019-07-25,"Organisation, Reliable, Creative","Chatty, Chaotic",True,True,True,Pass,Data,,,,,,1.0,,2.0,
760,Fleming Taillard,2019-07-20,Reliable,Chaotic,True,True,True,Pass,Business,,3.0,,,,,,6.0,2.0
761,Elicia Broggio,2019-07-18,Listening,Passive,False,True,True,Fail,Data,,,7.0,,,,,,
762,Paxton Mcginlay,2019-07-25,Versatile,"Competitive, Conventional",True,False,True,Fail,Business,,5.0,4.0,3.0,,,,5.0,
763,Abbott Yea,2019-07-12,"Innovative, Creative",Anxious,True,True,True,Pass,Data,2.0,,,2.0,,5.0,4.0,1.0,
764,Doy Tams,2019-07-11,"Composure, Empathy, Courteous","Impulsive, Procrastination",True,True,False,Fail,Data,,3.0,1.0,,,4.0,1.0,,
